Service,API Path & Contents,HTTP Method,State
회원가입,/signup,POST,
로그인,/login,POST,
로그아웃,/logout,POST,
재발급 토큰 재발급,/refresh/refresh,POST,
접근 토근 재발급,/refresh/access,POST,
에너지를 돈으로 변환,/change/energy2money,POST,
랭크 단일 조회,/rank,GET,
랭크목록 조회,/ranks,GET,
불러오기,/progress,GET,
저장하기,/progress,POST,
발전기 종류,/generator_types,GET,
전체 생산량 증가,/upgrade/production,POST,
발열 감소,/upgrade/heat_reduction,POST,
내열한계 증가,/upgrade/tolerance,POST,
최대 발전기 수 증가,/upgrade/max_generators,POST,
공급 증가,/upgrade/supply,POST,
